-'is;this, proximal-visible-animate
-is;this, proximal-visible-inanimate
-tan;that, medial-visible-animate
-en;that, medial-visible-inanimate
-eth;that, medial-hidden-animate
-thir;that, medial-hidden-inanimate
-um;that, distal-animate
-rum;that, distal-inanimate
'al-el 'ilitar venuiter-es;congratulations on your birth/happy birthday
'al;person
'eldegral;Feywild
'etil;living thing
'ibri;excrement, manure
'ibris'er;to burn
'ihir;to mine (for ore)
'ihir'er;to mine
'il;good, kind
'ilibris;passion, inspire fervor
'ilis;knowledge
'ilis'er;to know
'ilisimris'er;to teach
'ilisok;teacher
'imer;life
'imeritares;welcome, raised spirits
'imur;evil force
'ir;action, movement, motion
'irek;stand, firmness
'irek'er;to stand
'irur;hollow
'irur;repetition, again
'iruretil;gift
'irurlises duwesimris;gift-giving
'irursibris;ceremonial gift, dowry
ai;water
anin;four
ar;cut, cutting action
ar'er;to cut
arum;sketch, draw
arum'er;to draw
asam;rest, resting place
asamasam;to lie down
asamitar;to sit, rest upon
ba;father
barak;walking, gait
brakel;morning sky
bramal;tidal pool
bran;lineage, family branch
bris;heat
brismer;passionate lover
dak;snake, slither
dakisa;infatuation
eltek;compacted, condensed (of soil)
etil;thing
ewes;together with
gnar;correct
gnater;desire
gras;grass
gras'er;to graze
harabran;conflict, grievance between families
haran;divide (numbers)
hilis;sight, active vision
im;evil, abstract negativity
imasam;to cower, hide from fear
imibris;rage, anger, wrath
imlis;fear, dread
imlis'er;to fear
imlis'er;to flee, run from fear
imlisitar;to flinch, startle
imlisrur;anxiety, constant fear
imlisrur'er;to be anxious
impal;weakness, frailty
imtirokul;scavenger's words
imurai;stinky
imurmal;evil pool, cursed waters, swamp
imurthral;cursed day/time
imurtor;evil peak, forbidden mountain
imurwad;evil path, dangerous route
imwes;invade, encroach upon
imwes;invade, encroach upon
istor;growth (living)
ka-;like, having quality of (similative prefix)
kagar;hard
kagral;earthy
kaimpal;weak, feeble
kakrak;sharp, pointed
kali;light, small
kalis;clear, obvious
kamar;red, ruddy
kames;emotional
kapal;strong, vigorous
kar'er;to smell
kasai;introspectiveness, self-reflection
kasul;energetic
kator;massive, heavy
kawak;soft
keth;hundred
kethbran;kin, extended family
kethmater;sea vessel
krak'er;to bite
krantak;to pierce, stab
kres;eight
kul;magic
kul'er;to perform magic
li-;small (diminutive prefix)
liba;uncle (paternal)
limal;pond
limer;younger parent/aunt/uncle
limur;small owl
linai;aunt (maternal)
lis;child
mabarak;march, collective walking
maetil;many things, everything
makres;many
masin;everyone
materok;boatman
mathal;group (of people)
mer;parent
meris;unconditional love
meris;unconditional love
merlis;offspring
mir;cold
murmer;owl
murvinuiter;to abort
nai;mother
norath;to ride (a mount)
pak;poke
par;crawl
pil;five
pir'er;to listen
pirlas'er;to hear
pran;seven
sai;sense of self, inner voice
sak;wolf
sek;six
sibris;romantic love
sibris;romantic love
sin;floating
sin;one
sinas;play, drift, passage
sinibel;taste
sinkres;nine
sinthir sarespul thrales;New Year's Day, first day of spring
sinthir;fly
stor;grow, add
storbran;marriage, family union
storbran;marriage, family union
tag'er;to make, to craft
tagimris;give
taglas;take, receive
tak;strike, impact
tak'er;to strike
temer;death
ter;flow, fluid motion
ter'er;to drink
thal;three
thir;elder
thirba;grandfather
thirlis;grandchild
thirmer;grandparent
thirnai;grandmother
thragral;sacred earth
thran;thousand
thren;watch, observe
thurmur;dusk owl
tir;two
tirkres;ten
tomal;lake
tomal;lake
tomur;great owl
tor-;great (augmentative prefix)
torba;ancestor (paternal)
tormer;ancestor
tornai;ancestor (maternal)
tornes;whale
trask'er;to run
ul;thumb
us;grasp, possession
us'er;to possess, to own
ven;yoke, burden
venuiter;to give birth (inland dialect, formal)
vin;pregnancy
vinok;baby, infant
vinud;building, dwelling
vinud'er;to build
vinud'er;to build, to dwell
vinuimris;to give birth
ward;direct, guide
wes;cover, enclose
