"-eth /-eθ/ (undefined)","this/that (inanimate, sensed)"
"-nat /nat/ (undefined)","want to, desire to (desiderative suffix)"
"-rum /-rum/ (undefined)","that (animate, distant)"
"-thir /-θir/ (undefined)","this/that (animate, sensed)"
"-um /-um/ (undefined)","that (inanimate, distant)"
"'aka /ʔa.ka/ (interrogative)","what"
"'aker /ʔa.ker/ (interrogative)","how (visible/known manner)"
"'akereth /ʔa.ke.reθ/ (interrogative)","how (sensed manner)"
"'akerum /ʔa.ke.rum/ (interrogative)","how (unknown manner)"
"'aleth /ʔa.leθ/ (interrogative)","who (sensed but not seen person)"
"'alis /ʔa.lis/ (interrogative)","who (visible/known person)"
"'alum /ʔa.lum/ (interrogative)","who (unknown person)"
"'atal /ʔa.tal/ (interrogative)","where (what-place-PROX.INAN)"
"'atel /ʔa.tel/ (interrogative)","when (visible/known time)"
"'atelbran /ʔa.tel.bran/ (adverb)","before"
"'ateleth /ʔa.te.leθ/ (interrogative)","when (sensed time)"
"'atelum /ʔa.te.lum/ (interrogative)","when (unknown time)"
"'ateth /ʔa.teθ/ (interrogative)","where (sensed location)"
"'atum /ʔa.tum/ (interrogative)","where (unknown location)"
"'eldegralen asadimris /ʔel.də.gra.len a.sa.dim.ris/ (undefined)","The Elven Bridge"
"'eteleth /ʔe.te.leθ/ (interrogative)","when (sensed time)"
"'etelum /ʔe.te.lum/ (interrogative)","when (unknown time)"
"'etil /ʔe.til/ (noun)","living thing"
"'ibri /ʔib.ri/ (noun)","manure, fertilizer"
"'ibrigral /ʔib.ri.gral/ (noun)","farmlands, cultivated fields"
"'ibris'er /ʔi.bris.ʔer/ (verb)","to burn"
"'il /ʔil/ (undefined)","good, kind"
"'ilibris /ʔi.li.bris/ (noun)","passion; inspire fervor"
"'ilibris'er /ʔi.li.bris.ʔer/ (verb)","(euphemistic) to make love, have sexual intercourse"
"'ilis /ʔi.lis/ (noun)","knowledge"
"'ilisal /ʔi.li.sal/ (noun)","visit (a place);experience personally;confirm via experiment"
"'ilisimris /ʔi.li.sim.ris/ (verb)","to teach"
"'ilisok /ʔi.li.sok/ (noun)","teacher"
"'ilistal /ʔi.lis.tal/ (noun)","library;school"
"'ilitar sarespes /ʔi.li.tar sa.res.pes/ (undefined)","Happy New Year (greeting)"
"'ilsul /ʔil.sul/ (noun)","happiness, joy"
"'iltakutak /ʔil.ta.ku.tak/ (noun)","peace, harmony"
"'imer /ʔi.mer/ (noun)","life"
"'imeritares /ʔi.me.ri.ta.res/ (noun)","welcome; raised spirits"
"'imsai /ʔim.sai/ (noun)","self-doubt, anxiety"
"'imwen /ʔim.wen/ (noun)","witch, evil woman"
"'ir /ʔir/ (noun)","movement, motion"
"'irek /ʔi.rek/ (noun)","stand, firmness"
"'irur /ʔi.rur/ (noun)","repetition, again"
"'iruretil /ʔi.ru.re.til/ (undefined)","gift"
"'irursibris /ʔi.rur.sib.ris/ (undefined)","ceremonial gift, dowry"
"'it /ʔit/ (noun)","knot (in wood);falsehood"
"'u'u /ʔu.ʔu/ (verb)","cry, weep (in sorrow/pain)"
"ai /ai/ (noun)","water"
"aiesp /ai.esp/ (noun)","bathe"
"aimirik /ai.mi.rik/ (noun)","slush, partially melted snow/ice"
"airur /ai.rur/ (noun)","karst, water-carved limestone terrain"
"aitar /ai.tar/ (noun)","rain"
"aitarulbres /ai.ta.rul.bres/ (noun)","west wind"
"al /al/ (noun)","natural rock"
"aniko /a.ni.ko/ (noun)","animal (general term)"
"ar /ar/ (noun)","cut, cutting action"
"arak /a.rak/ (noun)","color"
"arsil /ar.sil/ (noun)","open wound, cut"
"arum /a.rum/ (noun)","sketch; draw"
"asad /a.sad/ (noun)","bridge"
"asam /a.səm/ (noun)","rest, resting place"
"asamgral /a.sam.gral/ (noun)","flatlands, plains"
"asamwen /a.sam.wen/ (noun)","daffodil"
"ba /ba/ (noun)","father"
"bar /bar/ (noun)","name, mark of identity"
"barakter /ba.rak.ter/ (noun)","league (distance walkable in one hour, roughly 3-4 miles)"
"bramis /bra.mis/ (noun)","sea mist, coastal fog"
"bran /bran/ (noun)","branch"
"brast /brast/ (undefined)","dominant arm"
"brastak /bras.tak/ (noun)","weapons, armaments"
"brastok /bras.tok/ (undefined)","craftsman, artisan"
"brastran /bras.tran/ (noun)","foot (unit of length, approximately arm-length)"
"bres /bres/ (noun)","wind"
"bresubel /bre.su.bel/ (verb)","shout, yell"
"brismal /bris.mal/ (noun)","forge (native term)"
"brismer /bris.mer/ (noun)","passionate lover"
"dorgar /dor.gər/ (noun)","spine"
"dortor /dor.tor/ (noun)","back slope"
"du /du/ (noun)","meat"
"dudup /du.dup/ (noun)","swollen muscle"
"dup /dup/ (noun)","pearl; lump, mass"
"duwes /du.wes/ (noun)","food, nourishment"
"eldalulbres /el.da.lul.bres/ (noun)","north wind"
"eldul /el.dul/ (noun)","north"
"eltek /el.tek/ (adjective)","compacted, condensed (especially of soil);shaped from loose material"
"etil /e.til/ (noun)","thing"
"etilsim /e.til.sim/ (adverb)","everything changes/transforms (with implications of resignation/indifference)"
"gar /gar/ (noun)","stone"
"ger /ger/ (noun)","metal"
"gnar /gnar/ (noun)","correct"
"gnater /gna.ter/ (verb)","desire"
"gral /gral/ (noun)","earth, soil"
"gralimris /gra.lim.ris/ (noun)","excrement"
"granmal /gran.mal/ (noun)","grain storage"
"gransed /gran.sed/ (noun)","grain"
"grapar /gra.par/ (noun)","earthworm"
"gras /gras/ (noun)","grass"
"grasgral /gras.gral/ (noun)","meadow, grassland"
"graswad /gras.wad/ (noun)","pasture path"
"harabran /ha.ra.bran/ (noun)","conflict, grievance (especially between families/clans)"
"haran /ha.ran/ (noun)","split, separate;divide (numbers)"
"hilis /hi.lis/ (noun)","sight, active vision"
"his /his/ (verb)","to see (passive/unintentional perception)"
"hisimris /hi.sim.ris/ (verb)","show"
"im /im/ (noun)","evil, abstract negativity"
"imasam /i.ma.sam/ (verb)","to cower, hide from fear"
"imasamok /i.ma.sa.mok/ (noun)","coward"
"imbel /im.bel/ (noun)","bad language, swear words"
"imeresp /i.me.resp/ (noun)","sleep"
